"No.","Time","Source","Destination","Protocol","Length","Info"
"47","23:23:44.692405","host","1.12.1","USB","29","URB_BULK out"
"48","23:23:44.846038","1.12.2","host","USB","29","URB_BULK in"
"49","23:23:45.202322","host","1.12.1","USB","29","URB_BULK out"
"50","23:23:45.338053","1.12.2","host","USB","29","URB_BULK in"
"51","23:23:45.724272","host","1.12.1","USB","29","URB_BULK out"
"52","23:23:45.830014","1.12.2","host","USB","29","URB_BULK in"
"53","23:23:46.217761","host","1.12.1","USB","29","URB_BULK out"
"54","23:23:46.322039","1.12.2","host","USB","29","URB_BULK in"
"55","23:23:46.740776","host","1.12.1","USB","29","URB_BULK out"
"56","23:23:46.896015","1.12.2","host","USB","29","URB_BULK in"
"57","23:23:47.242206","host","1.12.1","USB","29","URB_BULK out"
"58","23:23:47.388017","1.12.2","host","USB","29","URB_BULK in"
"59","23:23:47.736512","host","1.12.1","USB","29","URB_BULK out"
"60","23:23:47.880040","1.12.2","host","USB","29","URB_BULK in"
"61","23:23:48.234390","host","1.12.1","USB","29","URB_BULK out"
"62","23:23:48.372027","1.12.2","host","USB","29","URB_BULK in"
"63","23:23:48.754849","host","1.12.1","USB","29","URB_BULK out"
"64","23:23:48.864030","1.12.2","host","USB","29","URB_BULK in"
"65","23:23:49.210933","host","1.12.1","USB","61","URB_BULK out"
"66","23:23:49.539185","host","1.12.1","USB","45","URB_BULK out"
"67","23:23:49.859343","host","1.12.1","USB","66","URB_BULK out"
"68","23:23:49.960426","host","1.12.1","USB","29","URB_BULK out"
"69","23:23:50.094005","1.12.2","host","USB","29","URB_BULK in"
"70","23:23:50.123733","host","1.12.1","USB","29","URB_BULK out"
"71","23:23:50.258069","1.12.2","host","USB","29","URB_BULK in"
"72","23:23:50.503312","host","1.12.1","USB","29","URB_BULK out"
"73","23:23:50.586088","1.12.2","host","USB","29","URB_BULK in"
"74","23:23:51.038959","host","1.12.1","USB","29","URB_BULK out"
"75","23:23:51.160093","1.12.2","host","USB","29","URB_BULK in"
